Test,Points,OutOf,Notes
Check_next_prev_pointers_of_free_block_at_head_of_list_3FreeBlocks,2,2,
Check_next_prev_pointers_of_free_block_at_head_of_list_BaseCase,2,2,
Coalesce_free_before_and_after,3,3,
Coalesce_free_block_after,3,3,
Coalesce_free_block_before,3,3,
Coalesce_no_coalescing,2,2,
External_fragmentation_ask_sf_sbrk_for_more_space,3,3,
Free_Coalesce_Forward_2_Times,2,2,
Free_block_check_header_footer_values,2,2,
Info_count_allocations,2,2,
Info_count_coalesces,3,3,
Info_count_padding,2,2,
Info_count_splintering,2,2,
Info_peak,2,2,
Malloc_773_Bytes,2,2,
Malloc_Whole_First_Page_Multiple_Times,3,3,
Malloc_a_7737,2,2,
Malloc_a_Char,2,2,
Malloc_a_Double,2,2,
Malloc_a_LongDouble,2,2,
Malloc_a_Short,2,2,
Malloc_an_Integer,2,2,
Malloc_four_pages,2,2,
Malloc_four_pages_across_multiple_mallocs_then_frees_all,3,3,
Malloc_one_page,2,2,
Malloc_three_pages,2,2,
Malloc_two_pages,2,2,
ManagingMemory_consecutive_list,3,3,
Realloc_Both_Extend_In_Place_And_Move,4,4,
Realloc_Payload_Integrity_And_Moved,3,3,
Realloc_larger_fits_contiguous,2,2,
Realloc_larger_fits_contiguous_absorb_splinter,3,3,
Realloc_larger_must_move,2,2,
Realloc_size_zero_expect_NULL,2,2,
Realloc_smaller_size_ptr_should_not_move,3,3,
Splinter,3,3,
Splitting,3,3,
StressTest,5,5,
UnitTests,6,6,
Total,100,100,
